person_party_id,start_dt,end_dt,next_start_dt,program_start_date,program_end_date,program_exit_code,cms_user_ext_id,final_term,credential,term_length,prior_cum_credits_not_completed,full_part_time,term_attempted_credits,on_campus,delta_unmet_need,unmet_need,prior_term_earned_credits,prior_total_credit_hours,high_school_gpa,term_start_month,prior_term_start_month,prior_full_part_time,primary_major,prior_term_fraction_completed_credits,transfer,prior_term_gpa,admitted_zip_code,prior_cumulative_gpa,time_at_institution,prediction,outcome
1062454,1/3/14,1/23/14,1/29/14,8/29/12,5/12/16,1,377260,FALSE,BS,20,-0.25,Full-time,3,FALSE,,,15.25,57.75,3.783,Jan,Aug,Full-time,ATRN,1.01,FALSE,3.4,45002,3.505,1.34,0.99260654,1
1063053,1/3/14,1/23/14,1/29/14,,,,388856,FALSE,Unknown,20,-0.25,Full-time,3,FALSE,,,12.75,41.75,3.172,Jan,Aug,Full-time,,1.02,FALSE,2.728,41031,2.87,1,0.992979058,1
1063135,1/6/15,1/26/15,1/29/15,10/31/14,,,389653,FALSE,BS,20,0,Full-time,3,FALSE,,,13,44,3.67,Jan,Aug,Full-time,CRJST,1,FALSE,2.838,46613,2.73,1.35,0.993426606,1
1062591,1/6/15,1/26/15,1/29/15,3/27/14,4/4/16,2,379909,FALSE,BA,20,-0.5,Full-time,3.5,FALSE,,,17,87.5,3.84,Jan,Aug,Full-time,PSYC,1,FALSE,4,37013,3.867,2.35,0.996606764,1
1062674,1/4/16,1/22/16,1/27/16,8/27/14,4/7/16,2,381290,FALSE,BS,18,0,Full-time,3,FALSE,,,15.5,47.5,3.126,Jan,Aug,Full-time,SALE,1,FALSE,2.123,46845,2.808,1.35,0.985519016,1
1063315,1/6/15,1/26/15,1/29/15,8/27/14,8/24/15,4,394299,FALSE,BA,20,0,Full-time,3,FALSE,,,14,14,3.643,Jan,Aug,Full-time,EDUEN,1,FALSE,2.386,60637,2.386,0.36,0.968995688,1
1062120,1/6/15,1/26/15,1/29/15,11/21/11,5/14/15,1,371356,FALSE,BS,20,-0.75,Full-time,3,FALSE,,,15.75,112.75,3.487,Jan,Aug,Full-time,MGMT,1.01,FALSE,3.039,47424,2.394,3.35,0.98420705,1
1063005,8/27/14,12/12/14,1/6/15,8/28/13,4/8/15,2,388360,FALSE,BS,107,0,Full-time,15,TRUE,0,0,13.5,30.5,3.117,Aug,Jan,Full-time,ACCT,1,FALSE,3.156,47025,2.97,0.99,0.993817642,1
1061817,8/27/14,12/12/14,1/6/15,8/31/11,5/14/15,1,340192,FALSE,BS,107,-0.75,Full-time,13.5,FALSE,0,0,14.75,97.75,3.96,Aug,Jan,Full-time,FIN,1.01,FALSE,3.497,46582,3.574,2.99,0.998081861,1
1062347,1/29/14,5/15/14,7/3/14,4/15/13,1/21/15,2,375468,FALSE,BA,106,-0.5,Full-time,13.5,TRUE,,0,3,77.5,2.237,Jan,Jan,Full-time,SPMT,1,FALSE,3,46124,2.192,2.41,0.975498914,1
